,TFs,value
1,FOXA2,-5.501038074493408
2,FOXC2,-4.566640853881836
3,HNF4A,-4.18549108505249
4,ETV5,-3.875260353088379
5,NOTO,-3.8375892639160156
6,HNF1A,-3.7089548110961914
7,PPARA,-3.593695640563965
8,NFIX,-3.5086214542388916
9,MBD1,-3.299107789993286
10,HIF1A,-3.2162108421325684
11,FOXQ1,-3.205543279647827
12,PAX5,-3.1390130519866943
13,PITX2,-3.1131954193115234
14,E2F4,3.1016132831573486
15,SREBF1,-3.0985920429229736
16,PITX3,-3.0803370475769043
17,ZNF236,-3.068629503250122
18,MTA1,3.0554046630859375
19,TBX15,-3.0343759059906006
20,CEBPA,-2.928215742111206
21,MAF,-2.9193949699401855
22,ATF6,-2.9066429138183594
23,ERG,-2.864952564239502
24,FOXO1,-2.7055695056915283
25,SREBF2,-2.660195827484131
